UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
159647,86,83,89,33,40,28,33,40,28,0,0,0
159656,93,92,93,12,14,11,12,14,11,0,0,0
159717,78,79,78,38,33,42,38,33,42,0,0,0
159939,74,69,78,18,28,13,18,27,13,0,1,0
159966,91,90,91,35,39,33,35,38,33,0,0,0
159993,85,80,88,35,36,35,30,32,29,5,4,6
160038,93,91,93,37,39,37,36,38,36,1,1,1
160065,74,79,71,6,3,7,6,3,7,0,0,1
160074,99,97,99,30,25,30,28,25,28,2,0,2
160612,99,99,99,39,40,38,28,28,28,11,13,10
160621,35,30,38,20,25,18,20,24,18,0,1,0
160630,79,78,79,3,5,3,3,5,2,0,0,0
160658,87,85,88,32,38,29,32,37,28,0,0,0
160755,14,15,13,40,37,42,40,37,42,0,0,0
160904,69,61,72,12,11,12,12,11,12,0,0,0
160959,70,54,78,23,27,22,23,27,22,0,0,0
160977,13,12,14,37,36,37,37,36,37,0,0,0
161004,7,7,7,54,53,54,54,53,54,0,0,0
161022,71,,71,100,,100,60,,60,40,,40
161086,7,7,7,46,47,45,46,47,45,0,0,0
161226,97,97,96,19,19,20,18,18,19,1,1,1
161235,98,97,98,13,18,11,13,17,11,0,1,0
161253,97,96,97,15,18,13,15,18,12,0,0,0
161299,54,57,54,33,36,24,30,33,21,3,3,2
161341,100,100,100,19,20,19,15,17,15,4,3,4
161457,92,91,92,12,13,12,12,13,12,0,0,0
161509,76,66,77,16,17,15,16,17,15,0,0,0
161518,84,82,84,12,15,10,12,15,10,0,0,0
161554,79,72,84,15,18,13,15,17,13,0,1,0
161563,96,96,97,16,16,16,16,16,16,0,0,0
161873,79,89,73,37,49,28,33,39,28,4,10,0
162007,72,66,75,27,34,24,27,33,24,0,1,0
162061,74,76,76,17,19,15,16,18,15,0,1,0
162210,46,46,49,9,13,7,9,12,7,0,0,1
162283,46,41,48,12,12,12,11,12,11,0,0,0
162584,89,89,89,13,15,12,13,15,12,0,0,0
162654,78,73,81,10,10,9,10,10,9,0,0,0
162760,78,75,79,12,10,13,12,10,13,0,0,0
162928,6,7,6,47,44,50,47,44,50,0,0,0
163046,75,75,76,12,13,10,12,13,10,0,0,0
163268,72,71,73,22,26,18,22,26,18,0,0,0
163286,45,42,47,22,22,21,22,22,21,0,0,0
163295,77,66,80,10,12,10,10,12,10,0,0,0
163338,96,96,97,9,11,8,8,11,7,0,0,0
163453,82,79,84,12,16,11,12,16,11,0,0,0
163462,74,74,73,12,15,10,12,15,10,0,0,0
163532,66,66,,78,78,,78,78,,0,0,
163578,82,78,84,8,12,6,8,11,6,0,0,0
163851,87,85,89,18,21,17,18,21,17,0,0,0
163912,69,65,71,17,19,16,17,19,16,0,0,0
163976,55,48,58,25,28,24,25,28,24,0,1,0
164076,82,79,84,18,19,18,18,18,18,0,0,0
164155,9,9,10,84,86,80,84,86,80,0,0,0
164173,79,77,80,17,18,17,17,18,17,0,0,0
164216,57,61,55,12,12,11,12,12,11,0,0,0
164270,78,75,80,14,15,13,14,15,13,0,0,0
164368,60,59,62,13,16,11,13,16,11,0,0,0
164447,100,99,100,11,15,8,11,15,8,0,0,0
164465,9,8,10,39,39,39,39,39,39,0,0,0
164492,50,48,54,6,8,5,6,8,5,0,0,0
164535,85,87,85,36,85,20,36,85,20,0,0,0
164562,83,79,86,10,11,10,10,11,10,0,0,0
164580,17,14,22,39,39,38,39,39,38,0,0,0
164614,91,83,100,10,20,0,10,20,0,0,0,0
164632,85,,86,16,,16,16,,16,0,,0
164739,45,43,49,21,22,20,21,22,20,0,0,0
164748,44,47,40,45,47,44,42,43,41,3,4,3
164924,16,20,14,43,43,43,42,42,41,2,2,2
164988,11,11,11,37,36,38,37,36,38,0,0,0
165015,40,36,44,17,20,16,17,20,16,0,0,0
165024,88,86,89,19,20,19,19,20,18,1,1,0
165060,34,25,35,86,100,85,86,100,85,0,0,0
165264,50,33,54,100,100,100,25,50,21,75,50,79
165334,40,34,44,11,12,10,11,12,10,0,0,0
165529,88,86,89,11,13,11,11,13,11,0,0,0
165574,74,71,76,9,10,8,9,10,8,0,0,0
165608,39,54,38,10,0,11,0,0,0,10,0,11
165662,51,49,52,16,20,14,16,20,14,0,0,0
165671,76,67,79,11,12,11,11,12,11,0,0,0
165699,71,69,72,21,22,21,21,22,21,0,0,0
165802,71,66,75,6,9,5,6,9,5,0,0,0
165820,87,83,90,14,14,13,14,14,13,0,0,0
165866,84,80,87,15,16,15,15,16,15,0,0,0
165936,69,68,70,22,21,22,22,21,22,0,0,0
166018,75,61,79,14,14,11,14,14,11,0,0,0
166027,4,4,4,84,83,84,84,83,84,0,0,0
166054,80,81,78,26,31,14,26,31,14,0,0,0
166124,18,18,18,50,47,52,50,47,52,0,0,0
166391,81,78,83,14,16,12,14,16,12,0,0,0
166452,97,95,97,8,11,7,8,10,7,0,1,0
166513,83,84,82,18,20,16,18,20,15,0,0,0
166629,60,52,67,18,21,16,18,20,16,0,0,0
166638,84,81,85,12,16,10,12,16,10,0,0,0
166656,85,80,87,13,14,13,13,14,13,0,0,0
166674,76,67,79,17,20,17,17,19,16,0,0,0
166683,5,4,7,86,89,81,86,89,81,0,0,0
166692,95,94,98,38,39,33,38,39,33,0,0,0
166850,70,69,71,10,10,10,10,10,10,0,0,0
166939,36,,36,27,,27,27,,27,0,,0
167057,41,48,38,30,29,29,28,28,27,2,2,2
167260,81,80,82,18,20,16,18,20,16,0,0,0
167288,90,84,92,12,15,10,11,15,10,0,0,0
167358,5,5,6,54,53,54,54,53,54,0,0,0
167394,85,89,89,11,20,22,11,20,22,0,0,0
167598,70,70,70,8,9,7,8,9,7,0,0,0
167729,96,95,96,11,14,10,11,13,10,0,0,0
167783,70,,70,11,,11,11,,11,0,,0
167792,96,94,98,54,56,50,54,56,50,0,0,0
167835,21,,21,35,,35,35,,35,0,,0
167871,71,76,68,42,64,30,13,3,18,29,61,12
167899,72,70,75,19,19,19,19,19,19,0,0,0
167987,91,89,92,13,15,12,13,15,12,0,0,0
167996,66,63,69,14,15,13,14,15,13,0,0,0
168005,82,81,85,11,11,12,11,11,12,0,0,0
168148,11,11,12,46,45,46,46,45,46,0,0,0
168218,14,,14,48,,48,48,,48,0,,0
168227,91,91,91,20,21,18,20,21,18,0,0,0
168254,83,82,85,13,13,12,13,13,12,0,0,0
168263,81,82,91,15,16,14,15,16,14,0,0,0
